"FK","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","ID_KETERANGAN_TAMBAHAN","FG_UANG_MUKA","UANG_MUKA_DPP","UANG_MUKA_PPN","UANG_MUKA_PPNBM","REFERENSI"
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02173","Bio Placenta Body  Lotion Putih 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"FK","2","0","0000000000109","7","2019","2019-01-02","48.858.928.4-201.000","DAYU MART ULAK KARANG ( YULIUS )","Jl.Sumatera Ulak Karang Padang","557889.0","55788.899999999994","0","","0","0","0","0","19.000010"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"OF","02194","Nosy HS Btl Antibacterial 420ml Strawberry","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02195","Nosy HS  Pouch 420ml Lemon","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","6","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","6","27270.0","0.0","27270.0","2727.0","0","0","","","","","","","",""
"FK","2","0","0000000000110","7","2019","2019-01-02","NIK : 1371115503910009","TOKO PADANG MAKE UP STORE ( YOUMEDA RESTA )","Jln. S Parman No.84 C Padang","4130902.4000000004","413090.2","0","","0","0","0","0","19.000011"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03020","Eyeliner Gel Black","50000.0","12","600000.0","120000.0","480000.0","48000.0","0","0","","","","","","","",""
"OF","03024","Eyeliner Gel Silver ","50000.0","6","300000.0","60000.0","240000.0","24000.0","0","0","","","","","","","",""
"OF","03028","Smart Liner  ","68182.0","6","409092.0","81818.4","327273.6","32727.4","0","0","","","","","","","",""
"OF","03035","Blush Me Up Rossy Tint 802 ","59091.0","6","354546.0","70909.2","283636.8","28363.7","0","0","","","","","","","",""
"OF","03037","Blush Me Up Pink .Lusture 804 ","59091.0","6","354546.0","70909.2","283636.8","28363.7","0","0","","","","","","","",""
"OF","03045","Lip Matte Chocomelt 703 ","71818.0","6","430908.0","86181.6","344726.4","34472.6","0","0","","","","","","","",""
"OF","03047","Lip Matte Amore 706 ","71818.0","12","861816.0","172363.2","689452.8","68945.3","0","0","","","","","","","",""
"OF","03052","Lip Matte Bliss 711 ","71818.0","10","718180.0","143636.0","574544.0","57454.4","0","0","","","","","","","",""
"OF","03058","Lip Matte On Fire 718 ","71818.0","6","430908.0","86181.6","344726.4","34472.6","0","0","","","","","","","",""
"OF","03060","Lip Metallic Granatum 02 ","71818.0","3","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","03062","Lip Metallic Copper Gold 04 ","71818.0","3","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","03073","Sharpener ","22727.0","12","272724.0","54544.8","218179.2","21817.9","0","0","","","","","","","",""
"FK","2","0","0000000000111","7","2019","2019-01-02","82.492.329.6-205.000","GRAND CITRA SWALAYAN ( VIONI FAUZIA )","Jln.Rimbo Panjang KM.16 Lubuk Buaya Padang","834342.0","83434.2","0","","0","0","0","0","19.000012"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02169","Bio Placenta Body Lotion Kuning 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02174","Nosy HS Btl Antibacterial 420ml Apple","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"OF","02182","Bio Placenta Body  Lotion Kuning 200ml","6730.0","3","20190.0","0.0","20190.0","2019.0","0","0","","","","","","","",""
"OF","02192","Bio Placenta Body  Lotion Putih 200ml","6730.0","3","20190.0","0.0","20190.0","2019.0","0","0","","","","","","","",""
"OF","02194","Nosy HS Btl Antibacterial 420ml Strawberry","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02195","Nosy HS  Pouch 420ml Lemon","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02218","Nosy HS  Pouch 420ml Apple","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02439","BDL Bengkoang Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"FK","2","0","0000000000112","7","2019","2019-01-02","70.546.776.9-024.000","PT. MEGA INFRA ADITAMA","Jln. Bambu Apus Raya  No.121 Jakarta Timur ","1156300.0","115630.0","0","","0","0","0","0","19.000013"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00530","Spuit 1 CC Tuberculin ( TR )","6400.0","16","102400.0","35840.0","66560.0","6656.0","0","0","","","","","","","",""
"OF","00530","Spuit 1 CC Tuberculin ( TR )","6400.0","84","537600.0","188160.0","349440.0","34944.0","0","0","","","","","","","",""
"OF","00530","Spuit 1 CC Tuberculin ( TR )","6400.0","100","640000.0","224000.0","416000.0","41600.0","0","0","","","","","","","",""
"OF","01774","Examination Gloves Lightly Uk. M","45000.0","2","90000.0","0.0","90000.0","9000.0","0","0","","","","","","","",""
"OF","01827","WILLI RUSH Folley Catheter 2 way N0.16","20350.0","10","203500.0","0.0","203500.0","20350.0","0","0","","","","","","","",""
"OF","02842","Alkohol Pads (Iso Pas)","15400.0","2","30800.0","0.0","30800.0","3080.0","0","0","","","","","","","",""
"FK","2","0","0000000000113","7","2019","2019-01-02","08.103.234.4-201.000","SINGGALANG SUTOMO ( Fifi Fitriani )","Jl. Soetomo Padang","976008.0","97600.79999999999","0","","0","0","0","0","19.000014"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02165","Bio Placenta HBL Pomegranatc 400ml Gold","15185.0","3","45555.0","0.0","45555.0","4555.5","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02171","Bio Placenta Body Lotion Green Tea 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02172","Bio Placenta Body Lotion Orange 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02173","Bio Placenta Body  Lotion Putih 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02174","Nosy HS Btl Antibacterial 420ml Apple","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","24","109080.0","0.0","109080.0","10908.0","0","0","","","","","","","",""
"OF","02181","Bio Placenta Body Lotion Green Tea 200ml","6730.0","3","20190.0","0.0","20190.0","2019.0","0","0","","","","","","","",""
"OF","02183","Bio Placenta Body  Lotion Orange 200ml","6730.0","3","20190.0","0.0","20190.0","2019.0","0","0","","","","","","","",""
"OF","02187","Nosy HS Btl Antibacterial 420ml Aloevera","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02188","Nosy HS  Pouch 420ml Aloevera","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02194","Nosy HS Btl Antibacterial 420ml Strawberry","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02195","Nosy HS  Pouch 420ml Lemon","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02218","Nosy HS  Pouch 420ml Apple","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02439","BDL Bengkoang Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"OF","02440","BDL Papaya Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"FK","2","0","0000000000114","7","2019","2019-01-02","07.148.341.6-201.000","PROCOM SWALAYAN ( Syafrizal )","Jln. Aru No.13 Lubuk Begalung Depan UPI","216216.0","21621.6","0","","0","0","0","0","19.000015"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"FK","2","0","0000000000115","7","2019","2019-01-02","NIK : 1371047105880003","SS STORE ( SHINTA YOSIA GUSTI )","Jln. Raya Siteba No.77 Padang","3148794.8","314879.70000000007","0","","0","0","0","0","19.000016"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03019","Eyeliner Pen Black","41818.0","12","501816.0","90326.9","411489.1","41148.9","0","0","","","","","","","",""
"OF","03029","Countore Rose Pallete ","100000.0","6","600000.0","108000.0","492000.0","49200.0","0","0","","","","","","","",""
"OF","03034","Blush Me Up C.Flush 801 ","59091.0","6","354546.0","63818.3","290727.7","29072.8","0","0","","","","","","","",""
"OF","03038","Blush Me Up Luminious Glow  805 ","59091.0","6","354546.0","63818.3","290727.7","29072.8","0","0","","","","","","","",""
"OF","03047","Lip Matte Amore 706 ","71818.0","6","430908.0","77563.4","353344.6","35334.5","0","0","","","","","","","",""
"OF","03053","Lip Matte Glee 712 ","71818.0","6","430908.0","77563.4","353344.6","35334.5","0","0","","","","","","","",""
"OF","03073","Sharpener ","22727.0","6","136362.0","24545.2","111816.8","11181.7","0","0","","","","","","","",""
"OF","03105","Maskara True Dimensional Lash","54545.0","6","327270.0","58908.6","268361.4","26836.1","0","0","","","","","","","",""
"OF","03114","Inspired Carefree i6","53636.0","3","160908.0","28963.4","131944.6","13194.5","0","0","","","","","","","",""
"OF","03208","EyeshadowThe Addiction Palette","180910.0","3","542730.0","97691.4","445038.6","44503.9","0","0","","","","","","","",""
"FK","2","0","0000000000116","7","2019","2019-01-02","NIK : 13710351190000","RUMAH CANTIK IRMA EVA ( AIFA IRMA SUNARI )","Jln. Samudra Belakang Pasar Pagi, Purus Padang","7402356.399999999","740235.7","0","","0","0","0","0","19.000017"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03019","Eyeliner Pen Black","41818.0","12","501816.0","90326.9","411489.1","41148.9","0","0","","","","","","","",""
"OF","03020","Eyeliner Gel Black","50000.0","12","600000.0","108000.0","492000.0","49200.0","0","0","","","","","","","",""
"OF","03024","Eyeliner Gel Silver ","50000.0","24","1200000.0","216000.0","984000.0","98400.0","0","0","","","","","","","",""
"OF","03028","Smart Liner  ","68182.0","12","818184.0","147273.1","670910.9","67091.1","0","0","","","","","","","",""
"OF","03034","Blush Me Up C.Flush 801 ","59091.0","12","709092.0","127636.6","581455.4","58145.5","0","0","","","","","","","",""
"OF","03038","Blush Me Up Luminious Glow  805 ","59091.0","12","709092.0","127636.6","581455.4","58145.5","0","0","","","","","","","",""
"OF","03044","Lip Matte Dolce 702 ","71818.0","6","430908.0","77563.4","353344.6","35334.5","0","0","","","","","","","",""
"OF","03047","Lip Matte Amore 706 ","71818.0","12","861816.0","155126.9","706689.1","70668.9","0","0","","","","","","","",""
"OF","03052","Lip Matte Bliss 711 ","71818.0","6","430908.0","77563.4","353344.6","35334.5","0","0","","","","","","","",""
"OF","03075","Lip Liner Beach Babe ","50000.0","6","300000.0","54000.0","246000.0","24600.0","0","0","","","","","","","",""
"OF","03090","Eye shadow Chocoberry 07 ","40909.0","12","490908.0","88363.4","402544.6","40254.5","0","0","","","","","","","",""
"OF","03092","Inspired Wanderlust i3 ","53636.0","12","643632.0","115853.8","527778.2","52777.8","0","0","","","","","","","",""
"OF","03108","Lip Matte Calm Sense (701)","71818.0","6","430908.0","77563.4","353344.6","35334.5","0","0","","","","","","","",""
"OF","03149","Lip Liner Nude Blush","50000.0","6","300000.0","54000.0","246000.0","24600.0","0","0","","","","","","","",""
"OF","03155","Eyeliner Gel Coral White","50000.0","12","600000.0","108000.0","492000.0","49200.0","0","0","","","","","","","",""
"FK","2","0","0000000000117","7","2019","2019-01-02","NIK : 1371094104220005","RUMAH LIPS ( RIRIN ARINI PUJIAWATI )","Jln. Jhoni Anwar Ulak Karang Padang
","2885647.4","288564.6000000001","0","","0","0","0","0","19.000018"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03044","Lip Matte Dolce 702 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03046","Lip Matte Dine In Wine 704 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03047","Lip Matte Amore 706 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03048","Lip Matte Flaming Hot 707 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03050","Lip Matte Good Vibes 709 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03051","Lip Matte Full Bloom 710 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03052","Lip Matte Bliss 711 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03053","Lip Matte Glee 712 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03054","Lip Matte Unashamed 713 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03055","Lip Matte Empower 714 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03056","Lip Matte Liberate 716 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03057","Lip Matte Victory 717 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03058","Lip Matte On Fire 718 ","71818.0","3","215454.0","38781.7","176672.3","17667.2","0","0","","","","","","","",""
"OF","03064","Divine Gloss Descreet 01 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03065","Divine Gloss Authentic 02 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03066","Divine Gloss Delight 03 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03067","Divine Gloss Gratitude 04 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"OF","03068","Divine Gloss Savvy 05 ","71818.0","2","143636.0","25854.5","117781.5","11778.2","0","0","","","","","","","",""
"FK","2","0","0000000000118","7","2019","2019-01-02","NIK : 1371036711560001","DAHLIA KOSMETIK ( IRAWATI HALIM ) ","Jln. Niaga No.235 Pondok, Padang","4407265.600000001","440726.1999999999","0","","0","0","0","0","19.000019"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03029","Countore Rose Pallete ","100000.0","6","600000.0","120000.0","480000.0","48000.0","0","0","","","","","","","",""
"OF","03039","Glam Rock foundation Stunning 01 ","136364.0","6","818184.0","163636.8","654547.2","65454.7","0","0","","","","","","","",""
"OF","03040","Glam Rock Foundation Enchanting 1.5 ","136364.0","6","818184.0","163636.8","654547.2","65454.7","0","0","","","","","","","",""
"OF","03050","Lip Matte Good Vibes 709 ","71818.0","6","430908.0","86181.6","344726.4","34472.6","0","0","","","","","","","",""
"OF","03054","Lip Matte Unashamed 713 ","71818.0","6","430908.0","86181.6","344726.4","34472.6","0","0","","","","","","","",""
"OF","03061","Lip Metallic Red Rubby 03 ","71818.0","3","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","03077","Eyelash Twiggy ","31818.0","6","190908.0","38181.6","152726.4","15272.6","0","0","","","","","","","",""
