"OB","KODE_OBJECT","NAMA","HARGA_SATUAN"
"OB","00076","LFX ED","60940.0"
"OB","00077","CALFASIN SYRUP","2895.83"
"OB","00078","CALTRAC EFFERVESCENT TABL","29700.0"
"OB","00079","Canula Irrigator","100885.71428571429"
"OB","00080","CAPTOPRIL 25 MG","12510.0"
"OB","00081","CARBO GLISERIN 10 ML ( NBF )","1813.3063837824225"
"OB","00082","CARDIO ASPIRIN","34750.0"
"OB","00083","CARING COMPRESSION PANTHYHOSE 2880 UK.M","320000.0"
"OB","00084","CARING COMPRESSION PANTYHOSE 2880 UK.L","320000.0"
"OB","00085","CARING COMPRESSION PANTYHOSE 2880 XL","320000.0"
"OB","00086","CARING COMPRESSION STOCKING (2850) M","200000.0"
"OB","00087","CARING COMPRESSION STOCKING (2870)S","225000.0"
"OB","00088","CARPIN 2% 5 ML","17100.0"
"OB","00089","CATARLENT 15 ML","26950.0"
"OB","00090","CATARLENT 5 CC (T M )","20758.325"
"OB","00091","CATARLENT MINIDOSE","17600.0"
"OB","00092","CATGUT SILK 3/0 + JARUM","7500.0"
"OB","00093","BERRY TAB","83160.0"
"OB","00094","VITAL TAB","79200.0"
"OB","00095","VITANORM TAB","87912.0"
"OB","00096","CENFRES ED MINIDOSE 0.3 ML","20240.0"
"OB","00097","CENTRIFUSE 8 HOLD (HEALTH)","2000000.0"
"OB","00098","CERVICAL COLLAR 4091 UK.L","175000.0"
"OB","00099","CHROMIC 1 HRG-50 100CM REF 2447 H","29918.212499999998"
"OB","00100","CHROMIC 2 HRG-50 100 CM REF 2448 H","36508.48200760161"
"OB","00101","CHROMIC 2/0 HR-27 75 CM REF 312","23674.700244098076"
"OB","00102","CHROMIC 2/0 HRG-38 90CM REF 334 N","30337.158308257185"
"OB","00103","CHROMIC 3/0 HR- 27 75 CM REF 311","24336.415217391306"
"OB","00104","CHROMIC O HRG-38 90 CM REF 335 N","29761.9"
"OB","00105","COLOSTOMY BAG 20 MM","0.0"
"OB","00106","COLUM HPLC","0.0"
"OB","00107","COM BETADINE 12CM+TUTUP","14346.0"
"OB","00108","CONFORMING BANDAGE 3 INCH","7000.0"
"OB","00109","CONFORMING BANDAGE 4 INCH","12500.0"
"OB","00110","CONFORMING BANDAGE UK.2 X 4.1 YARD SOLAMED","5000.0"
"OB","00111","COTOON BALL  100 GR","13150.0"
"OB","00112","COTOON BALL  100 PCS","8600.0"
"OB","00113","COTOON BALL  1000 GR","127100.0"
"OB","00114","COTOON BALL  250 GR","32800.0"
"OB","00115","COTOON BALL  50 PCS","5250.0"
"OB","00116","COTOON BALL 50 GR","10900.0"
"OB","00117","CRYOTUBE (CENTRIFUGE TUBE) ( BD )","158.0"
"OB","00118","CTA FOR ENT 8156","0.0"
"OB","00119","CTA FOR ORAL CLINIC","48375.0"
"OB","00120","CTG Paper BT 350 ( Bistos )","88200.0"
"OB","00121","CUVET","231000.0"
"OB","00122","D-RETH TAB","85800.0"
"OB","00123","DAN SHEN GOJI","125000.0"
"OB","00124","DENTAL COTTON ROLL","46800.0"
"OB","00125","DEPPER BALL (TUVER) SOLAMED UK. L","2119.0"
"OB","00126","DEPPER BALL (TUVER) SOLAMED UK. M","1612.0"
"OB","00127","DEPPER BALL (TUVER) SOLAMED UK. S","255.0"
"OB","00128","DEVELOPER AUTOMATIC","264603.0221066017"
"OB","00129","DEXTRAL FORTE TABLET ( MOLEX AYUS )","55000.0"
"OB","00130","DEXTROSE  10 %  (OGB)","6012.6"
"OB","00131","DEXTROSE  5 %  (OGB)","6273.0"
"OB","00132","DEXTROSIN TABLET","57600.0"
"OB","00133","DIABION CAPSUL","107800.0"
"OB","00134","DISPOSABLE GOWN BLUE","28125.0"
"OB","00135","DISPOSIBLE SPUIT 3 CC","2000.0"
"OB","00136","DISPOSIBLE SPUIT 5 CC","5000.0"
"OB","00137","DISPOSIBLE SYRINGE 3 CC","2000.0"
"OB","00138","DOMPERIDON TAB","36565.0"
"OB","00139","BISTOS DOPLER BT-200 LED","681818.18"
"OB","00140","BISTOS DOPLER LCD","854545.4545"
"OB","00141","BISTOS DOPLER SOUND TYPE BT 200 S ","595000.0"
"OB","00142","Karmi Blood Bag Double  KBD350","43204.83195776517"
"OB","00143","DUCK BERLOBANG STERIL 60X90","27000.0"
"OB","00144","DYCAL CAT.960220","250000.0"
"OB","00145","EASY TOUCH (GCU) ALAT","227507.0992513819"
"OB","00146","ECG PAPER 50mm  X 30m","98625.0"
"OB","00147","EFRISEL MD","13530.0"
"OB","00148","ELBOW SUPPORT 1080 UK L","115000.0"
"OB","00149","ELBOW SUPPORT 1080 UK. M","115000.0"
"OB","00150","ELBOW SUPPORT 1080 UK. XL","115000.0"
"OB","00151","ELBOW SUPPORT 1085 UK S","81000.0"
"OB","00152","ELBOW SUPPORT 1085 UK. L","81000.0"
"OB","00153","ELBOW SUPPORT 1085 UK. M","81000.0"
"OB","00154","ELBOW SUPPORT 1085 UK. XL","81000.0"
"OB","00155","ENDOTRAKEL","45000.0"
"OB","00156","ERLAMICETIN EAR DROP 1% 10 ML","5082.0"
"OB","00157","ERLAMICETIN PLUS TETES MATA 5 ML","5000.0"
"OB","00158","ERLAMYCETINE E.O 1% 3.5 GR","4741.0"
"OB","00159","ERLEN MEYER 100 ML+TUTUP","25455.0"
"OB","00160","ERLEN MEYER 200 ML","26446.0"
"OB","00161","ERLENMENYER 100ML","42000.0"
"OB","00162","ERLENMEYER 10 ML","43500.0"
"OB","00163","ERLENMEYER 25 ML (P.IWAKI)","19583.0"
"OB","00164","EUPHYLLIN RETARD MITE","189750.0"
"OB","00165","EXAMINATION LAMP. HALOGEN KD-201B","590909.09"
"OB","00166","EYEFRESH MINIDOSE","20350.0"
"OB","00167","EYEFRESH PLUS","30690.0"
"OB","00168","FACEMASK ADULT BLACK NO.2","492500.0"
"OB","00169","FACEMASK ADULT BLACK NO.3","492500.0"
"OB","00170","FACEMASK OKSIGEN DEWASA","1138000.0"
"OB","00171","ECG Fast Klip / Clamp Elektroda","1200000.0"
"OB","00172","FILM DI-HL 20X25","1110563.576287658"
"OB","00173","FILM DI-HL 26X36","2137850.0"
"OB","00174","FILM RONTGEN 24X30 (SHRU)","429000.0"
"OB","00175","FILM RONTGEN 30X40 (SHRU)","796902.32686046"
"OB","00176","FILM RONTGEN 35X35 CM (SHRU)","823000.0"
"OB","00177","FILM RONTGEN 35X43 (SHRU)","1253408.780487805"
"OB","00178","FILM RONTGEN 15X30 (SHRU)","385000.0"
"OB","00179","FILM SHRU 18X24 CM","262000.0"
"OB","00180","FILM UM-MA 18X24CM","1500000.0"
"OB","00181","FIXER AUTOMATIC","209328.18713504117"
"OB","00182","FLORAL HEALT MASK (NEXCARE)","4363.5"
"OB","00183","WILLI RUSH FOLEYCATHETER NO. 16","14500.0"
"OB","00184","FOLLEY CHATETER 18 ( ROYAL )","7500.0"
"OB","00185","Folley Catheter 2 Way No.16 ( GEA )","9915.74074074074"
"OB","00186","FRESHCARE TEENS + FRESH HOLDER","16400.0"
"OB","00187","FUNDOSCPE KAYU/ STETOSKOP BIDAN KAYU","14855.095646446076"
"OB","00188","FUROSEMIDE 40 MG TABLET","16521.0"
"OB","00189","GARPU TALA","90000.0"
"OB","00190","GAS N20 5 KG","425000.0"
"OB","00191","GELAS CUCI MATA","1364.0"
"OB","00192","GELAS UKUR 5 ML","37272.0"
"OB","00193","GELAS UKUR 50ML","30000.0"
"OB","00194","GENTAMICIN 40MG/ML INJEKSI ( INF )","17371.46957936508"
"OB","00195","GENTAMYCIN SK 0.1 % (ECR) ( INF )","1668.32"
"OB","00196","GENTIEN VIOLET 1% 10 ML","2045.42"
"OB","00197","GESTAMAG TABLET","54000.0"
"OB","00198","GIFLOX MD","70620.0"
"OB","00199","GLAOPLUS MD","67112.5"
"OB","00200","GLAUCON 250 MG ASKES","143999.7"
"OB","00201","GLAUCON TAB","66880.0"
"OB","00202","GRISEOFULVIN 500 MG TAB","129706.0"
"OB","00203","GUNTING BENGKOK PLACENTA OP","13200.0"
"OB","00204","GUNTING EPISITOMY","15570.189504373178"
"OB","00205","GUNTING IRIS BENGKOK 11 CM","19500.0"
"OB","00206","GUNTING JARINGAN 14 CM","16364.0"
"OB","00207","GUNTING LIPAT","3000.0"
"OB","00208","GUNTING OPERASI 14 CM TA-TA","20000.0"
"OB","00209","GUNTING OPERASI LURUS 12.5 CM","18000.0"
"OB","00210","GUNTING VERBAN 14 CM","24000.0"
"OB","00211","GUNTING VERBAN 18 CM","30000.0"
"OB","00212","H202 3 %","2000.0"
"OB","00213","H202 50%","39.77"
"OB","00214","HAK PERUT/ SPATEL ABDOMEN ( TAJIMA )","95000.0"
"OB","00215","HALOGEN LAMP","1722240.0"
"OB","00216","HAND S. 7.5 STRL (MAXTER) ECR","3300.0"
"OB","00217","HAND SCHOON N.STRL NO.7 (SG)","3500.0"
"OB","00218","HAND SCHOON.STRL 7(MAXTER) ECR","3800.0"
"OB","00219","HAND STERILIZER 400 ML","55250.0"
"OB","00220","HANDS SCHOON NON STERIL SUNSHINE UK. L","0.0"
"OB","00221","HANDS SCHOON NON STERIL SUNSHINE UK.S","41739.13043478261"
"OB","00222","HANDS SCOON NON STERIL SUNSHIINE UK. M","42095.23809523809"
"OB","00223","HANDSCHOON STERIL (MAXTER) NO 6.5","3000.0"
"OB","00224","HANDSCOON MEDIGLOVE UK 7,5 ( MEDIGLOVE )","4500.0"
"OB","00225","HANDSCOON NON STERIL SUNSHINE UK L","3000.0"
"OB","00226","HEAD LAMP RI-FOKUS LED CAT 6090","2563636.0"
"OB","00227","Assistant Hemometer ","550000.0"
"OB","00228","HERVIZ SALF","32340.0"
"OB","00229","HI-OXY (MASKER NON REBRITING )","3909.0"
"OB","00230","HYALUB MD","50160.0"
"OB","00231","HOMATRO 2% MINIDOSE","28314.0"
"OB","00232","HOMATRO 5 ML","31240.0"
"OB","00233","HUFAGRIP FLU","11000.0"
"OB","00234","HUFAGRIP PILEK","8600.0"
"OB","00235","HYGROMETER TFA","796363.5"
"OB","00236","HYPAFIX 10X5 M","98500.0"
"OB","00237","HYPAFIX 5 CM X 1 CM","10363.0"
"OB","00238","HYPAFIX 5 X 5CM","65000.0"
"OB","00239","ICE CUP","10684.0"
"OB","00240","ID BRACELET ADULT BLUE HOSPILAB","127500.0"
"OB","00241","ID BRACELET ADULT GREEN HOSPILAB","127500.0"
"OB","00242","ID BRACELET ADULT PINK SURGILAB","189516.12903225806"
"OB","00243","ID BRACELET ADULT PURPLE HOSPILAB","127500.0"
"OB","00244","ID BRACELET ADULT RED HOSPILAB","127500.0"
"OB","00245","ID BRACELET ADULT WHITE HOSPILAB","127500.0"
"OB","00246","ID BRACELET ADULT YELLOW HOSPILAB","127500.0"
"OB","00247","ID BRACELET DEWASA PINK (pcs)","170000.0"
"OB","00248","ID BRACELET INFANT  BLUE SURGILAB","187500.0"
"OB","00249","ID BRACELET INFANT  PINK SURGILAB","187500.0"
"OB","00250","BioRad ID-Diluent 2","1663200.0"
"OB","00251","BioRad ID-Liss Coombs Card 1X12 ","1071428.0"
"OB","00252","BioRad ID-Liss Coombs Card 24X12","1.8216E7"
"OB","00253","IMV","1000.0"
"OB","00254","INAMI MQA/ SPONGE","800000.0"
"OB","00255","INFATRIM FORTE CAPLET","45000.0"
"OB","00256","INFATRIM SUSPENSI ( MOLEX AYUS )","5900.0"
"OB","00257","Infusion Set Dewasa ( GEA )","2976.991150442478"
"OB","00258","INFUSION SET- CHILD ( Avico )","2800.0"
"OB","00259","INFUSION STAND SS","968760.0"
"OB","00260","IODINE CUP (COMB BETADINE) 6 CM","10910.0"
"OB","00261","ISI TABUNG OKSIGEN KECIL","52088.46348191094"
"OB","00262","ISOSORBID DINITRATE 5 MG","11184.0"
"OB","00263","IV CATHETER NO.20 GEA","3040.0"
"OB","00264","IV CHATETER 18GX1 1/4","10800.0"
"OB","00265","IV CHATETER 20GX1 1/4","8245.0"
"OB","00266","IV CHATETER 22GX1","8636.0"
"OB","00267","IV CHATETER 24X3/4","8635.36294564582"
"OB","00268","IV CHATETER NO. 18 GEA","3040.0"
"OB","00269","IV CHATETER NO. 22 GEA","3040.0"
"OB","00270","IV CHATETER NO. 24 GEA","9091.0"
"OB","00271","JARUM OSE","6394.736842105263"
"OB","00272","JENTIKA 10 GR","1300.0"
"OB","00273","KABEL EKG CARDIOCARE","2000000.0"
"OB","00274","KACA MULUT + TANGKAI","21700.0"
"OB","00275","KACA PEMBESAR DIM 100 MM","40000.0"
"OB","00276","KACA PEMBESAR DIM 75 MM","45000.0"
"OB","00277","KACA PRISMA SPEKTRO","0.0"
"OB","00278","KAIN TIMBANGAN DACIN","9473.0"
"OB","00279","KANTONG PLASTIK PUTIH","25000.0"
"OB","00280","KAPAS 250GR ( BB )","7500.0"
"OB","00281","KAPAS KECANTIKAN","1000.0"
"OB","00282","KAPAS KECIL 25 GR ( BB )","1650.0"
"OB","00283","KAPAS PUTIH 25 GR ( OM )","1650.0"
"OB","00284","KAPAS SARI 1000 GR","100393.2"
"OB","00285","KAPSUL KOSONG NO. 1","26018.65"
"OB","00286","Kassa Hydrofile Surgidress 40yardx80cm (Potong 4)","153900.0"
"OB","00287","KASA HYDROFIL 40 YARD X 80 CM PTG 5","155694.44444444444"
"OB","00288","KASA HYDROPHILE SOLAMED 40 YARDS X 80 CM","177750.0"
"OB","00289","KASA LIPAT SOLAMED 10 X 10CM 16 PLY","1147.5"
"OB","00290","KASA LIPAT SOLAMED 10 X 10CM 32 PLY","4394.0"
"OB","00291","KASA STERIL UK.20 CMX 20 CM","20000.0"
"OB","00292","KASSA ROLL TC/CT 40X80","77922.07792207792"
"OB","00293","HEXA HUSADA KASSA STERIL ","2545.0"
"OB","00294","KASSA STERIL 16X16 ( BB )","2463.1417870868213"
"OB","00295","KASSA VERBAN 10 CM","740.0"
"OB","00296","KASSA VERBAN 15 CM","1020.0"
"OB","00297","KASSA VERBAN 5 CM","370.0"
"OB","00298","KASUR DEKUBITUS AIR DOCTOR KOREA TYPE AD","777272.9"
"OB","00299","KELLY PLACENTA","116667.0"
"OB","00300","WILLI RUSH KERR T TUBE NO.5","277000.0"
"OB","00301","ECG Paper 215mm x 25m (BIONET)","59500.0"
"OB","00302","KERTAS LENSA","12727.0"
"OB","00303","KERTAS MILIPORE","407660.0"
"OB","00304","KERTAS PULVIS/ OBAT","5500.0"
"OB","00305","KETOKONAZOLE ","6682.0"
"OB","00306","KNEE STABILIZER 1030 UK L","427000.0"
"OB","00307","KORENTANG","47925.90909090909"
"OB","00308","KOTAK BEDAK","11364.0"
"OB","00309","KOTAK MICROSCOPE","408333.33"
"OB","00310","KOTAK P3K","65000.0"
"OB","00311","KOTAK P3K & ISI","30746.5908915"
"OB","00312","KURSI MANDI SM 909","625000.0"
"OB","00313","KURSI RODA SM-800 C","726833.3333333334"
"OB","00314","LABU UKUR 10 ML","52727.0"
"OB","00315","LABU UKUR 100 ML+TUTUP","69091.0"
"OB","00316","LABU UKUR 25 ML + TUTUP","57273.0"
"OB","00317","LABU UKUR 5 ML","52727.0"
"OB","00318","LAMPU HALOGEN (OSRAM)","30000.0"
"OB","00319","LAMPU OSRAM INFRARED","1078000.0"
"OB","00320","LAMPU SOROT OPERASI","900000.0"
"OB","00321","LANCING DEVICE","15000.0"
"OB","00322","LAPAROTOMY SPONGES 270 X 18 HOSPILAB","1205278.6458333333"
"OB","00323","LENTIKULAR","29260.0"
"OB","00324","LEUKOPLAST 1621H (0.5X5)","6213.95"
"OB","00325","LEUKOPLAST 1624H (2X5)","24878.0"
"OB","00326","LEUKOPLAST 7,5CMX4,5M 1625 (3X5)","34304.22091377819"
"OB","00327","LEXAVIT KAP","44500.0"
"OB","00328","LEXAVON 8 MG ( MOLEX AYUS )","11132.0"
"OB","00329","LEXMODINE 20 MG ( MOLEX AYUS )","10828.0"
"OB","00330","Lifestraw 72000L","5000000.0"
"OB","00331","LUBRICEN GEL","42130.0"
"OB","00332","LUMPANG NO.10","38250.0"
"OB","00333","LYSOL 100 % LITER","13766.86129032258"
"OB","00334","LYTEERS MD","16940.0"
"OB","00335","LYTERS ASKES","15180.0"
"OB","00336","MADU SUMBAWA 100 ML","10000.0"
"OB","00337","MADU SUMBAWA 330 ML","29700.0"
"OB","00338","MAGTRAL FORTE SUSPENSI MINT 120 ML","26000.0"
"OB","00339","MANGKUK IODINE TEST","0.0"
"OB","00340","MANSET DEWASA (OM)","35123.90909090909"
"OB","00341","MANSET TENSIMETER","361900.0"
"OB","00342","MANSET TENSIMETER (MINRAY)","250000.0"
"OB","00343","MANSET TENSIMETER ANAK","35000.0"
"OB","00344","MASKER EAR LOOP SURGIDRESS","16524.647887323943"
"OB","00345","MASKER NEBULIZER DEWASA (BESMED)","28000.0"
"OB","00346","MASKER SOLAMASK","22278.02037845706"
"OB","00347","MASKER SOLIDA","16500.0"
"OB","00348","MASKER TIE ON SOLAMASK","2868.4210526315787"
"OB","00349","MEDICAL OXYGENT REGULATOR","285000.0"
"OB","00350","MEDITTOL ANTISEPTIK 250 CC","24938.0"
"OB","00351","MEDITTOL ANTISEPTIK 500 CC","44996.0"
"OB","00352","MEDITTOL ANTISEPTIK 750 CC","58697.0"
"OB","00353","MEDITTOL BODYWASH 250 ML","12752.0"
"OB","00354","MEDITTOL HANDSANITIZER 35 ML","5426.0"
"OB","00355","METAL CHATETER","25000.0"
"OB","00356","METERAN","949.6022505894787"
"OB","00357","METERAN BESAR","1166.67"
"OB","00358","METHYLEN BLUE ( MERCK )","90000.0"
"OB","00359","METHYLPREDNISOLONE 4 MG","39649.5"
"OB","00360","MICONAZOLE   CR 2 %","2727.0"
"OB","00361","MICROLAX S","16000.0"
"OB","00362","MICROSCOPE SLID/OBJEK GLASS SAIL BRAND","11500.0"
"OB","00363","MICROSCOPE SLIDE/Objek Glass ","14663.41208307743"
"OB","00364","MINY. KPT LANG 210 ML","36750.0"
"OB","00365","MINYAK ANGIN LANG","7400.0"
"OB","00366","MITELA","10909.0"
"OB","00367","MOLACORT  0,5 MG TAB","15000.0"
"OB","00368","MOLEXDINE SOLUTION 15 ML","3250.0"
"OB","00369","MOLEXFLU ( MOLEX AYUS )","41998.0"
"OB","00370","MUCCUSEXTRACTOR/SLIM SEHER","13000.0"
"OB","00371","MULTISURE GLUCOSE ( ALAT )","350000.0"
"OB","00372","MYCETIN 3,5 GR (S M)","11220.0"
"OB","00373","MYCODERM KRIM","11000.0"
"OB","00374","MYCODERM TABL","90000.0"
"OB","00375","MYDRIATHYL 1 % ED 5 CC","33689.42307692308"
"OB","00376","MYLANTA CAIR","8800.0"
"OB","00377","NACL 0.9 %  (OGB)","5827.0"
"OB","00378","NALD HEACTING GT-12","1000.0"
"OB","00379","NALD HECTING  SEME 36","69000.0"
"OB","00380","NALD HECTING  SETH 21","91080.0"
"OB","00381","NALD HECTING  SETH 28","74840.0"
"OB","00382","NALD HECTING SE ME 28","69000.0"
"OB","00383","NALD HECTING SE ME 32","69000.0"
"OB","00384","NALD HECTING SE ME 50","69000.0"
"OB","00385","NALD HECTING SE ME 55","69000.0"
"OB","00386","NALD HECTING SE MH 45","85000.0"
"OB","00387","NALD HECTING SE MH 50","69000.0"
"OB","00388","NALD HECTING SE MH 55","69000.0"
"OB","00389","NALD HECTING SE MH 60","69000.0"
"OB","00390","NALD HECTING SE TE 36","80000.0"
"OB","00391","NALD HECTING SE TE 40","69000.0"
"OB","00392","NALD HECTING SE TH 40","69000.0"
"OB","00393","NALD HECTING SE TH 45","85000.0"
"OB","00394","NALD HECTING SEME 40","69000.0"
"OB","00395","NALD HECTING SEMH 18","69000.0"
"OB","00396","NALD HECTING SEMH 36","69000.0"
"OB","00397","NALD HECTING SETH 24","87905.90906625001"
"OB","00398","NALD HOLDER 14 CM","14355.0"
"OB","00399","NALD INJECTION  NO.16","18000.0"
"OB","00400","NALD POWDER 12.5 CM","22000.0"
"OB","00401","NALD VOEDER 18 CM","25000.0"
"OB","00402","NASSAL OXYFLOW BAYI BESMED","5250.0"
"OB","00403","NASSAL OXYFLOW DEWASA BESMED","6144.0"
"OB","00404","NASSAL SPECULUM HIDUNG DEWASA UK M","75000.0"
"OB","00405","NEEDLE 27 GKL/2","35000.0"
"OB","00406","NEEDLE BURNER","0.0"
"OB","00407","NEEDLE NO. 18G X 1 1/4 ( TR )","1350.0"
"OB","00408","Neirbeken 20 cm SS","21454.347158218126"
"OB","00409","NESCO MULTI CHECK","362727.5"
"OB","00410","NEUROPATTIES 1.25X5 (ALTAYLAR)","0.0"
"OB","00411","NONCORT MINIDOSE","37180.0"
"OB","00412","NORMAVIT","87780.0"
"OB","00413","NOVAKID SYRUP","3181.82"
"OB","00414","NURSE CAP","80000.0"
"OB","00415","OBAT MATA ROHTO 7 ML","7830.0"
"OB","00416","OBH INDO PLUS 100 ML","9750.0"
"OB","00417","BOX OBJECT GLASS 25 GREY","10250.0"
"OB","00418","BOX OBJECT GLASS 25 ORANGE","10250.0"
"OB","00419","OCIDERM N CREAM 5 GR","17050.0"
"OB","00420","OCULENT A  GEL","56210.0"
"OB","00421","OMNIFIX ELLASTIS 5CM X 5CM","40150.0"
"OB","00422","ONE TOUCH LANCETS","20000.0"
"OB","00423","ONE TOUCH ULTRA ALAT","350000.0"
"OB","00424","OPIPHEN DRY SYRUP","16338.461538461539"
"OB","00425","OPTHALGON 3 ML","9680.0"
"OB","00426","OTOLIN EAR DROPS","21500.0"
"OB","00427","OTOSCOPE","63636.0"
"OB","00428","OTSU D5 PIGGYBACK","10100.0"
"OB","00429","OXIGEN NASSAL CANULA (MEGAN)","16500.0"
"OB","00430","OXYGEN MASKER","25000.0"
"OB","00431","OXYTETRACYCLIN 3% - 5GR SK","1499.4"
"OB","00432","P-PRED MD","33660.0"
"OB","00433","PANTOCAIN 2% 5 ML","11660.0"
"OB","00434","PARTUS SET","280000.0"
"OB","00435","PEGANGAN ANAK BAYI","10000.0"
"OB","00436","PEKA KRISTAL 5 GR","3263.66"
"OB","00437","PEN LIGHT/SENTER (GC)","17095.5401459854"
"OB","00438","PENGUKUR PANJANG BAYI 1.5M","7500.0"
"OB","00439","PENGUKUR PJG BAYI","5000.0"
"OB","00440","PENJEPIT TALI PUSAT","1181.82"
"OB","00441","PENLIGHT MAGICSTAR","14660.13371537727"
"OB","00442","Lifestraw 1000L","50000.0"
"OB","00443","PHANTOM GIGI","50000.0"
"OB","00444","PHENOL 250 GR ( MERCK )","100000.0"
"OB","00445","PHENYTOIN 100 CAP","55000.0"
"OB","00446","PINCET ANATOMI 18 CM","10500.0"
"OB","00447","PINCET BAYONET","15000.0"
"OB","00448","PINCET CIRUGIS","10000.0"
"OB","00449","PINCET GONJUTIVA","58900.0"
"OB","00450","PINSET CIRURGIS 18 CM","20000.0"
"OB","00451","PIPET FILLER 100 ML","86364.0"
"OB","00452","PIPET LEUCOCYT, ASS","28125.0"
"OB","00453","PIPET PLASTIK","1600.0"
"OB","00454","PIPET TETES PANJANG","1287.588785046729"
"OB","00455","PIPET VOLUM 2 ML","21818.0"
"OB","00456","PIPET VOLUME 1ML","35000.0"
"OB","00457","PISAU OPERASI NO. 11( Aesculap )","318181.0"
